benchmark_name,category,standard_decode_speed,optimized_decode_speed,decode_improvement_pct,standard_prefill_speed,optimized_prefill_speed,prefill_improvement_pct,standard_total_speed,optimized_total_speed,total_improvement_pct,standard_memory_gb,optimized_memory_gb,memory_reduction_pct,standard_time_sec,optimized_time_sec,time_reduction_pct
short_context_quick,short_context,186.437,183.74,-1.4466012647704065,355.133,331.978,-6.520092472397658,19.89186747411851,19.301839590556543,-2.9661764252635234,1.243,1.243,0.0,2.513590042013675,2.5904266671277583,-3.0568479278557414
code_generation,code_generation,173.538,144.969,-16.462676762438207,1286.789,1859.139,44.47893166634156,74.5889658469731,69.72322167293892,-6.523410156961754,1.309,1.309,0.0,4.022042625118047,4.302727166097611,-6.978656546966011
sustained_dialogue_generation,general,108.362,158.907,46.64458020339235,999.622,1290.104,29.05918437169251,84.07564971368124,114.54800525926025,36.24397271903613,1.341,1.334,0.521998508575682,11.239877458196133,8.249816291965544,26.60225769677082
technical_documentation,general,133.789,145.408,8.684570480383291,1616.155,1403.096,-13.183079593232083,105.73404966830024,114.65301020422453,8.435277532548955,1.428,1.403,1.7507002801120386,11.34922954114154,10.46636279206723,7.779089724759489
progressive_context_building,general,90.467,150.34,66.18214376512984,3682.41,4294.586,16.624330261975185,66.01334784072361,97.06952694112076,47.04530237631517,1.733,1.733,0.0,9.089070917107165,6.181136541068554,31.99374724390573
maximum_context_stress_test,stress_test,90.432,131.441,45.34788570417551,5323.962,5307.325,-0.3124928389797039,78.57323431997136,108.62816525269336,38.2508511872252,2.709,2.709,0.0,20.897701541893184,15.115785083733499,27.667714779870877
very_long_generation,long_context,167.434,131.146,-21.673017427762588,330.493,493.859,49.431001564329655,125.5328968001133,104.55887658599336,-16.7079871083649,1.383,1.373,0.7230657989877085,9.312300040852278,11.180303750094026,-20.059530954189324
extreme_long_generation,long_context,90.801,157.88,73.87473706236715,675.64,834.378,23.49446450772602,76.0227511960408,117.97192751142086,55.17976612975397,1.395,1.367,2.0071684587813636,15.166512417141348,9.77351158298552,35.55860889983252
repetitive_pattern_generation,general,71.494,147.488,106.2942344812152,613.308,698.002,13.809374735043397,65.91223332172675,127.07780282702558,92.79850859663821,1.549,1.465,5.422853453841179,30.343380874954164,15.738389832898974,48.132378861283534
long_context_detailed,long_context,170.307,120.803,-29.067507501159668,4059.863,3974.441,-2.104061146890918,94.50554749332285,75.56414253281604,-20.042638197345074,1.758,1.758,0.0,5.290694708004594,6.616895040962845,-25.066657710409316
micro_generation,general,203.067,203.11,0.02117527712528691,346.786,368.377,6.226029885866214,4.517200654424452,4.236131800369787,-6.22219103283286,1.249,1.249,0.0,2.213760416023433,2.360644208267331,-6.63503562448481
step_by_step_reasoning,general,168.392,142.962,-15.101667537650249,1279.141,1442.308,12.755982335020136,85.45661112975772,78.87836216644345,-7.69776483802502,1.307,1.307,0.0,4.68073791731149,5.071099209133536,-8.339738278836615
ultra_long_generation,long_context,171.811,139.934,-18.5535268405399,383.678,440.611,14.83874498928789,92.45339073205282,83.87973277956566,-9.273492172218138,1.523,1.503,1.3131976362442561,5.062010125257075,5.579416916240007,-10.221370131231321
very_long_context_comprehensive,long_context,161.682,106.292,-34.25860640021771,5146.123,4958.784,-3.6403910283528,117.59371221458863,82.90796709835429,-29.496258314338036,2.158,2.158,0.0,8.503856041003019,12.061567000113428,-41.83644386683175
short_generation,short_context,180.845,166.885,-7.719317647709369,388.449,480.388,23.668229291361275,34.69684412864018,33.4333817918928,-3.6414330135127986,1.25,1.25,0.0,2.882106500212103,2.991022584028542,-3.77904438328089
long_generation,long_context,167.826,131.841,-21.441850488005425,383.041,515.049,34.46315146420357,121.2860867452095,101.30268327558746,-16.47625379455269,1.336,1.364,-2.0958083832335346,8.244968791026622,9.871406834106892,-19.726430557874245
conversational_assistant,general,110.265,147.833,34.07064798440121,1558.637,1624.919,4.252561693325653,88.00089711055672,110.80791478921105,25.916801336697247,1.404,1.367,2.63532763532763,12.045331750065088,9.566103667020798,20.582480702790885
creative_writing,general,154.895,141.137,-8.88214596985055,1112.589,1540.651,38.47440519365194,106.99556747700527,100.8810695154153,-5.7147208111252334,1.381,1.335,3.330919623461263,7.476945249829441,7.930130041670054,-6.06109549686686
medium_context_analysis,general,169.049,169.053,0.0023661778537528632,2300.242,2099.829,-8.712691968931964,59.57798010812093,54.26174147081993,-8.92316024754985,1.396,1.396,0.0,3.3569449591450393,3.6858382089994848,-9.7973977487617
comprehensive_analysis_generation,general,108.956,156.875,43.98013877161422,899.455,1003.789,11.599690923948385,89.29787741356088,123.20302567134158,37.968593699889915,1.428,1.368,4.201680672268896,13.796520540956408,9.99975441582501,27.519736689118844
